number,name,url,description,desc_url,airdate
671,Anything Can Be Anything,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/671_0.mp3,People connecting the dots that maybe should not be connected.,http://tal.fm/671,"Sun, 31 Mar 2019 18:00:00 -0400"
616,I Am Not A Pirate,http://stream.thisamericanlife.org/616/616.mp3,"To be, or not to be a pirate? This week, that is the question. Hold fast, mateys! We have stories about both historical and modern-day swashbucklers who loot, pillage, and question their choices.",http://tal.fm/616,"Fri, 05 May 2017 00:00:00 +0000"
589,Tell Me I’m Fat,http://stream.thisamericanlife.org/589/589.mp3,"The way people talk about being fat is shifting. With one-third of Americans classified as overweight, and another third as obese, and almost none of us losing weight and keeping it off, maybe it’s time to rethink the way we see being fat. A show inspired by Lindy West’s book Shrill.",http://tal.fm/589,"Fri, 17 Jun 2016 00:00:00 +0000"
419,Petty Tyrant,http://stream.thisamericanlife.org/419/419.mp3,"In Schenectady, NY, a school maintenance man named Steve Raucci works his way up the ranks for 30 years, until finally he's in charge of the maintenance department. That's when he starts messing with his employees. Teasing them at meetings. Punishing them with crummy work assignments. Or worse things, like secretly slashing their tires in the middle of the night.",http://tal.fm/419,"Fri, 12 Nov 2010 00:00:00 +0000"
354,Mistakes Were Made,http://stream.thisamericanlife.org/354/354.mp3,"It's the late 1960s, and in the new technology of cryonics, a California TV repairman named Bob sees an opportunity to help people cheat death. But freezing dead people so scientists can reanimate them in the future is a lot harder than it sounds. Harder still was admitting to the family members of people Bob had frozen that he'd screwed up. Badly.",http://tal.fm/354,"Fri, 18 Apr 2008 00:00:00 +0000"
332,The Ten Commandments,http://stream.thisamericanlife.org/332/332.mp3,Stories of people struggling to follow the Ten Commandments from the book of Exodus.,http://tal.fm/332,"Fri, 04 May 2007 00:00:00 +0000"
317,Unconditional Love,http://stream.thisamericanlife.org/317/317.mp3,Can love be taught? A family uses a controversial therapy to train their son to love them. And other stories about the hard and sometimes painful work of loving other people.,http://tal.fm/317,"Fri, 15 Sep 2006 00:00:00 +0000"
199,House on Loon Lake,http://stream.thisamericanlife.org/199/199.mp3,"Our entire show this week is one long story, sort of a real-life Hardy Boys mystery. More than most of our shows, this one lends itself to a Hollywood-style tagline. Perhaps: ""You Might Break In...But You'll Never Forget."" Or ""Dead Letters Tell No Tales.""",http://tal.fm/199,"Fri, 16 Nov 2001 00:00:00 +0000"
172,24 Hours at the Golden Apple,http://stream.thisamericanlife.org/172/172.mp3,"The This American Life producers document one day in a Chicago diner called The Golden Apple, starting at 5 a.m. and going until 5 a.m. the next morning. We hear from the waitress who has worked the graveyard shift for over two decades, the regular customers who come every day, the couples working out their problems, various assorted drunks, and, of course, cops.",http://tal.fm/172,"Fri, 17 Nov 2000 00:00:00 +0000"
165,Americans In Paris,http://stream.thisamericanlife.org/165/165.mp3,"Many Americans have dreamy and romantic ideas about Paris, notions which probably trace back to the 1920s vision of Paris created by the expatriate Americans there. But what's it actually like in Paris if you're an American, without rose-colored glasses?",http://tal.fm/165,"Fri, 28 Jul 2000 00:00:00 +0000"
